date,deficit_MW,type,availability_MW,max_demand_MW
2024-12-10 08:56:00,1525,afectación,,3150.0
2024-12-09 08:33:00,1385,afectación,,3080.0
2024-12-08 09:10:00,1270,déficit,1850,3050.0
2024-12-07 08:36:00,1554,afectación,1566,3050.0
2024-12-06 08:40:00,1425,afectación,,3100.0
2024-12-05 08:36:00,1475,afectación,,3050.0
2024-12-03 09:38:00,1596,afectación,1554,3080.0
2024-12-02 09:12:00,1502,déficit,,3250.0
2024-12-01 08:55:00,1436,déficit,1814,3180.0
2024-11-30 09:57:00,1481,déficit,1769,3180.0
2024-11-29 09:11:00,1580,afectación,1710,3200.0
2024-11-28 09:51:00,1390,afectación,1840,3160.0
2024-11-27 09:29:00,1503,déficit,1747,3180.0
2024-11-26 07:54:00,1450,déficit,1650,3030.0
2024-11-25 09:16:00,1365,afectación,1805,3100.0
2024-11-24 08:58:00,1230,afectación,1840,2980.0
2024-11-23 09:26:00,1485,afectación,1565,2980.0
2024-11-22 08:30:00,1420,afectación,,3000.0
2024-11-21 08:30:00,1495,afectación,,3100.0
2024-11-20 09:27:00,1541,afectación,1629,3100.0
2024-11-19 08:04:00,1594,afectación,1556,3080.0
2024-11-18 09:23:00,1399,déficit,1771,3100.0
2024-11-17 08:22:00,1421,afectación,1749,3100.0
2024-11-16 09:48:00,1510,afectación,,3100.0
2024-11-15 08:11:00,1315,afectación,,3000.0
2024-11-14 08:51:00,1260,déficit,,3020.0
2024-11-13 08:44:00,1400,afectación,1870,3200.0
2024-11-06 09:42:00,1354,afectación,1616,2900.0
2024-11-05 08:54:00,1440,afectación,,3100.0
2024-11-04 08:33:00,1366,afectación,,3150.0
2024-11-02 08:37:00,1375,afectación,1795,3100.0
2024-11-01 08:33:00,1595,afectación,,3200.0
2024-10-31 09:17:00,1590,déficit,1630,3150.0
2024-10-30 11:52:00,1400,afectación,1820,3150.0
2024-10-29 09:28:00,1318,afectación,,3150.0
2024-10-28 09:28:00,1060,afectación,,3050.0
2024-10-27 08:53:00,870,afectación,,3000.0
2024-10-26 10:21:00,970,afectación,2080,2980.0
2024-10-25 10:21:00,946,afectación,,3000.0
2024-10-24 08:59:00,1060,afectación,1990,3050.0
2024-10-23 09:21:00,1042,déficit,1978,2950.0
2024-10-18 08:45:00,1500,afectación,1705,3200.0
2024-10-17 09:17:00,1678,afectación,,3300.0
2024-10-16 08:23:00,1445,afectación,2005,3380.0
